"gene_symbol"	"organsystem"	"kegg_diseasename"
"A1BG"	"Mental and behavioural disorders"	"Schizophrenia"
"A2M"	"Cancers"	"Hepatocellular carcinoma"
"A2M"	"Congenital disorders of metabolism"	"Wilson disease"
"A2M"	"Nervous system diseases"	"Alzheimer disease"
"A2M"	"Nervous system diseases"	"Parkinsonian syndrome"
"A2M"	"Urinary system diseases"	"Nephrotic syndrome"
"A2ML1"	"Congenital malformations"	"Brachydactyly"
"A2ML1"	"Congenital malformations"	"Cardiofaciocutaneous syndrome"
"A2ML1"	"Congenital malformations"	"Costello syndrome"
"A2ML1"	"Congenital malformations"	"Leopard syndrome"
"A2ML1"	"Congenital malformations"	"Noonan-like syndrome with loose anagen hair"
"A2ML1"	"Congenital malformations"	"Noonan syndrome"
"A2ML1"	"Endocrine and metabolic diseases"	"Hypogonadotropic hypogonadism"
"A2ML1"	"Reproductive system diseases"	"Cryptorchidism"
"A4GALT"	"Cancers"	"Burkitt lymphoma"
"AAAS"	"Cancers"	"Prostate cancer"
"AAAS"	"Eye disease"	"Optic atrophy"
"AAAS"	"Skin diseases"	"Palmoplantar keratoderma"
"AADAT"	"Cancers"	"Hepatocellular carcinoma"
"AAGAB"	"Cancers"	"Breast cancer"
"AAGAB"	"Cancers"	"Hodgkin lymphoma"
"AAGAB"	"Cancers"	"Renal cell carcinoma"
"AAGAB"	"Congenital malformations"	"Mal de Meleda"
"AAGAB"	"Skin diseases"	"Palmoplantar keratoderma"
"AANAT"	"Nervous system diseases"	"Delayed sleep phase syndrome"
"AARS1"	"Digestive system diseases"	"Gastroesophageal reflux disease"
"AARS1"	"Eye disease"	"Optic atrophy"
"AARS1"	"Mental and behavioural disorders"	"Autism"
"AARS2"	"Cardiovascular diseases"	"Hypertrophic cardiomyopathy"
"AARS2"	"Nervous system diseases"	"Hereditary diffuse leukoencephalopathy with spheroids"
"AARS2"	"Reproductive system diseases"	"Premature ovarian failure"
"AASS"	"Congenital disorders of metabolism"	"Hyperlysinemia"
"AASS"	"Congenital disorders of metabolism"	"Saccharopinuria"
"AASS"	"Congenital malformations"	"Ectopia lentis"
"ABAT"	"Congenital disorders of metabolism"	"GABA-transaminase deficiency"
"ABAT"	"Digestive system diseases"	"Gastroesophageal reflux disease"
"ABAT"	"Mental and behavioural disorders"	"Autism"
"ABCA1"	"Cancers"	"Colorectal cancer"
"ABCA1"	"Cardiovascular diseases"	"Myocardial infarction"
"ABCA1"	"Congenital disorders of metabolism"	"Hyperlipoproteinemia type IIa"
"ABCA1"	"Congenital disorders of metabolism"	"Hypertriglyceridemia"
"ABCA1"	"Congenital disorders of metabolism"	"Hypoalphalipoproteinemia"
