"gene_symbol"	"organsystem"	"kegg_diseasename"
"A1BG"	"Mental and behavioural disorders"	"Schizophrenia"
"A2M"	"Cancers"	"Hepatocellular carcinoma"
"A2M"	"Congenital disorders of metabolism"	"Wilson disease"
"A2M"	"Nervous system diseases"	"Alzheimer disease"
"A2M"	"Urinary system diseases"	"Nephrotic syndrome"
"A2ML1"	"Congenital malformations"	"Cardiofaciocutaneous syndrome"
"A2ML1"	"Congenital malformations"	"Costello syndrome"
"A2ML1"	"Congenital malformations"	"Leopard syndrome"
"A2ML1"	"Congenital malformations"	"Noonan-like syndrome with loose anagen hair"
"A2ML1"	"Congenital malformations"	"Noonan syndrome"
"A4GALT"	"Cancers"	"Burkitt lymphoma"
"AAAS"	"Cancers"	"Prostate cancer"
"AADAT"	"Cancers"	"Hepatocellular carcinoma"
"AAGAB"	"Congenital malformations"	"Mal de Meleda"
"AANAT"	"Nervous system diseases"	"Delayed sleep phase syndrome"
"AARS2"	"Nervous system diseases"	"Hereditary diffuse leukoencephalopathy with spheroids"
"AASS"	"Congenital disorders of metabolism"	"Hyperlysinemia"
"AASS"	"Congenital disorders of metabolism"	"Saccharopinuria"
"ABAT"	"Congenital disorders of metabolism"	"GABA-transaminase deficiency"
"ABAT"	"Digestive system diseases"	"Gastroesophageal reflux disease"
"ABAT"	"Mental and behavioural disorders"	"Autism"
"ABCA1"	"Cancers"	"Colorectal cancer"
"ABCA1"	"Congenital disorders of metabolism"	"Hyperlipoproteinemia type IIa"
"ABCA1"	"Congenital disorders of metabolism"	"Hypoalphalipoproteinemia"
"ABCA1"	"Congenital disorders of metabolism"	"Tangier disease"
"ABCA1"	"Mental and behavioural disorders"	"Schizophrenia"
"ABCA10"	"Cancers"	"Colorectal cancer"
"ABCA12"	"Cancers"	"Colorectal cancer"
"ABCA12"	"Congenital malformations"	"Congenital ichthyosis"
"ABCA12"	"Congenital malformations"	"Harlequin ichthyosis"
"ABCA13"	"Cancers"	"Colorectal cancer"
"ABCA13"	"Mental and behavioural disorders"	"Bipolar disorder"
"ABCA13"	"Mental and behavioural disorders"	"Schizophrenia"
"ABCA3"	"Cancers"	"Breast cancer"
"ABCA3"	"Cancers"	"Colorectal cancer"
"ABCA3"	"Respiratory diseases"	"Idiopathic pulmonary fibrosis"
"ABCA4"	"Cancers"	"Breast cancer"
"ABCA4"	"Cancers"	"Colorectal cancer"
"ABCA4"	"Eye disease"	"Age-related macular degeneration"
"ABCA4"	"Eye disease"	"Familial exudative vitreoretinopathy"
"ABCA4"	"Eye disease"	"Retinitis pigmentosa"
"ABCA4"	"Eye disease"	"Stargardt disease"
"ABCA5"	"Cancers"	"Colorectal cancer"
